site,DA,Mean annual streamflow (cfs),Population,Population Density,Urban  %,"Ag: pasture, hay %",Ag: crops  %,Ag: total %,Forest %,"Water, wetland %",Other land use %,Impervious %,,Number of WWTPs,WWTP flow (MGD),WWTP flow as fraction of river discharge,WWTP flow as fraction of river discharge- distance weighted,WWTP population served,WWTP population served- distance weighted
"04024000",3430,2418,81474,23.7,2.9,2.6,0.3,2.9,33.6,50.7,10,0.5,Wetland,17,8.24,0.00527,3.23E-05,50507,319
"04024430",420,454,6185,14.6,3,9,0.9,9.9,48.5,28.6,9.9,0.2,Wetland,1,NA,NA,NA,NA,NA
"04027000",597,624,4317,7.2,3.4,3.7,2.1,5.8,71.1,15.8,3.9,0.3,Forest,4,0.18,0.00044,9.56E-06,1240,28
"04027500",301,268,1774,6.6,3.6,4.6,0.9,5.5,68.1,16.4,6.4,0.3,Forest,3,0.03,0.00019,6.26E-06,72,3
"04029990",262,300,10770,40.2,5.5,0,4.3,4.3,58.4,28,3.9,0.8,Wetland,2,2.02,0.01039,0.000327674,8862,281
"04032000",261,91,2093,7.9,3.2,0,0,0,58.4,37.3,1.1,0.2,Wetland,2,0.03,0.00051,1.65E-05,NA,NA
"04040000",1340,1067,4490,3.4,2.5,1.9,1.6,3.5,68.8,21.9,3.3,0.2,Forest,6,0.19,0.00027,7.14E-06,1075,16
"04043000",705,791*,2918,4.1,2.2,2.9,1,3.9,69.6,20.4,3.8,0.3,Forest,1,0.08,0.00015,2.86E-06,838,16
"04045500",790,817,6030,8,2.4,0.5,0.2,0.8,33.9,57.9,5,0.4,Wetland,2,1.45,0.00275,5.31E-05,2000,39
"04056500",1100,1278,3754,3.3,2.4,0.6,0.3,1,34.7,54.1,7.8,0.3,Wetland,2,0.02,0.00002,2.31E-07,180,2
"04059000",870,559,11792,13.5,3.5,1.4,0.4,1.7,45.4,38.3,11.1,0.6,Wetland,2,0.26,0.00071,1.23E-05,3550,63
"04059500",450,263,2149,4.8,2.8,2.8,0.8,3.6,40.5,47.2,6,0.3,Wetland,1,0.02,0.00013,9.40E-07,NA,NA
"04067500",3930,2618,57816,14.8,3.8,1.4,2.3,3.7,54.8,33.1,4.6,0.5,Wetland,12,3.13,0.00185,1.98E-05,28801,267
"04069500",1080,756,20964,18.9,4.4,4,11.4,15.5,43,34,3.1,0.5,Wetland,5,0.52,0.00107,1.43E-05,4960,49
"04071765",966,692,21397,22.7,4.9,6.1,15.1,21.2,41.4,30.5,2,0.5,Crops,7,0.87,0.00196,9.18E-05,6595,265
"040851385",6330,5270,795673,125,8.4,9.7,31.7,41.4,24.7,24.4,1.1,2.2,Crops,86,83.78,0.02461,0.000582079,485082,27140
"04085427",526,430,32918,63.5,7,31.8,38.1,69.9,6.2,15.5,1.4,1.6,AgMix,12,2.42,0.00872,0.000145436,15887,268
"04087170",872,780,971085,1123,29.9,15.7,27.5,43.2,12,13.2,1.7,11.8,Urban,13,11.17,0.02217,0.000361233,17047,234
"04092750",39,500,90992,2363,84.1,0.9,0.1,1,3.3,8.7,2.9,47.3,Urban,4,151.57,0.46927,0.051020684,NA,NA
"04095090",331,553,296105,895,38,6.1,21.3,27.4,13.1,10.4,11.2,14.1,Urban,15,20.1,0.05629,0.007992122,64700,2070
"04101500",3666,3535,770579,207,13.8,12.9,47.5,60.4,9.8,14.8,1.2,3.8,Crops,60,160.9,0.07047,0.001725198,117953,837
"04102500",390,486,61162,157,11,7.3,40.8,48.1,21.1,16.8,3,2.4,Crops,5,1.83,0.00582,0.000515662,19250,1647
"04108660",1950,2186,466585,236,13.6,15.4,33.2,48.7,21,14.7,2,3.6,AgMix,24,47.39,0.03355,0.000324439,54642,459
